sample_id,iteration,seed,final_x
0,0,48079388104128029278037751566148496410,0.0
0,1,55548471653404609301386219046516893779,0.0
0,2,22298173269865612512094072083368571777,0.0
1,0,311539043315033807292824547238836747288,0.5183549783549785
1,1,27069172114249104054010222149752635173,0.28467532467532514
1,2,181061094032653995581095482788568338903,0.35662337662337684
2,0,314343428858565005384292613509779502669,0.5731534719150825
2,1,23613517463835409689279301843009214422,0.5111455108359128
2,2,196447796460551021299638633981508909893,0.3308270676691745
3,0,171506238218163366642479754267446542364,0.45669735669735617
3,1,166710120959363170163742872525859074979,0.5260172260172259
3,2,231870718832904622459986078304877159313,0.48547668547668454
4,0,25363347678808537504042562463060697987,0.4902280858676211
4,1,339371530854492794188396305733944959272,0.4491949910554559
4,2,234698779852321581309025024855846675476,0.4266547406082277
5,0,226382955544411879908348542095701307888,0.5473646468268207
5,1,81137320006962946337529728026036952036,0.471728217999283
5,2,155251080165026163566992085300448221662,0.47755467909645244
6,0,57121338393641098617018781823663090130,0.4986834230999405
6,1,100167245812782105411732058893553551120,0.46122082585278185
6,2,8471376458723622179248697906880429983,0.47627169359664867
7,0,27578477091532605471537613073399227153,0.5082809089741951
7,1,78650507391440599715502575216841954936,0.5032224932597282
7,2,268194268569657065945307665935490087127,0.5157915008345113
8,0,288441754177667959287578100961277465771,0.5414952220348498
8,1,53301635420889870188540572860625439946,0.5367060146149512
8,2,112361505531888615351515795741179147423,0.4918493535694193
9,0,128670462321212890002139749256056915015,0.5142600000000003
9,1,279617737352560681633515955237429132364,0.5105099999999999
9,2,125008985136612262770109095219238139033,0.5107400000000002
